Date,A3,B3,C3,D3,,A4,B4,C4,D4,,A5,B5,C5,D5,,A6,B6,C6,D6,,A7,B7,C7,D7,,GEN MW POWER OUTPUT,TOTAL COAL FLOW,MAIN STEAM FLOW,BLR TOTAL AIR FLOW,SH ATMP-1A SPRAY CTRL 50% VLV,SH ATMP-1B SPRAY CTRL 50% VLV,CID FAN A BLADE PITCH POS,FD FAN B BLADE PITCH FB,TOT OFA FLOW,ECO INLT FW FLOW 1
2021-01-03 1:00,50.69974905,40.16951357,45.40202295,37.92097515,,48.14980302,41.66239342,46.96445712,40.33335792,,48.89513363,41.70632208,45.33302181,37.9493466,,51.38198872,48.95546176,53.33013269,44.23120865,,54.83185866,48.57251793,52.89745486,42.1200077,,805,293.1,2103.03,2690.4,81.72,44.85,47.52,39.67,823,1969.21
2021-01-03 2:00,49.85183702,39.10325097,44.02570121,36.96920106,,47.84989668,41.60450426,46.417357,40.09507469,,48.36953561,40.94428335,44.43037325,37.25400658,,51.72011382,48.34244568,52.97536139,44.10070288,,54.4420483,47.54133407,52.02655769,41.35072164,,808.45,293.78,2110.38,2698.1,79.44,58.43,47.41,39.78,832.93,1965.04
2021-01-03 3:00,49.08040969,38.31156816,43.26832497,36.31283099,,46.40113813,40.49011055,45.12896827,39.88778737,,48.01388262,40.33788261,44.00219312,36.88286499,,51.53902422,47.36026701,52.40450515,44.03246451,,54.60256302,48.05173719,52.20091845,41.34905958,,812.36,291.67,2108.39,2753.05,65.44,51.18,48.76,39.67,792.19,1979.44
2021-01-03 4:00,49.08725035,38.59196199,43.36876128,36.28654481,,47.18605093,40.94070488,45.51566396,40.22155576,,48.57649381,40.96237793,44.29127005,37.24821006,,51.60690241,47.17980703,52.15577081,43.76779661,,54.35621581,48.14606012,52.2557125,41.45938908,,805.76,288.93,2095.5,2765.85,56.33,21.13,48.66,39.19,728.44,1997.43
2021-01-03 5:00,48.40866904,38.69671855,43.43129921,36.34969909,,45.85931691,41.00525211,45.42416551,40.26723935,,46.76352317,39.94648955,43.1996761,36.38386061,,49.98974082,45.95308109,51.13528051,43.13928372,,53.12960828,46.44965506,50.34153577,39.90317892,,800.87,286.65,2089.39,2736.08,53.49,27.46,48.14,38.58,701.96,1995.92
2021-01-03 6:00,48.74382793,38.87723087,43.69110238,36.93689765,,46.25460298,41.35734207,46.15769753,40.49293013,,47.65629147,40.64320448,43.93715562,37.40039289,,50.67917979,46.62352,51.73724399,43.64686739,,52.65486598,45.83098847,49.77668342,39.31821948,,806.51,287.52,2102.44,2750.15,54.65,38.27,48.37,38.9,715.53,1993.3
2021-01-03 7:00,48.42421788,39.06720633,44.19559941,37.94743195,,45.81472927,41.80086587,47.08451393,41.04986879,,46.98084492,40.44850993,43.87876527,37.48550646,,50.43839385,46.5074727,51.57378652,43.60780133,,52.55122944,46.49900538,50.15328202,39.914923,,804.94,287.4,2100.59,2725.51,58.08,41.27,47.96,38.46,692.72,1985.96
2021-01-03 8:00,48.27904409,39.11377879,44.30663237,37.52315434,,45.79634355,41.33357088,46.20318835,40.78863616,,46.592051,39.96407608,43.4020587,37.01853722,,50.12231823,46.05325742,51.24250688,43.4043711,,52.7203407,46.16034145,49.838929,39.48791694,,805.24,287.08,2105.68,2736.11,58.32,45.25,48.03,38.64,702.96,1984.23
2021-01-03 9:00,48.22861654,39.15590304,44.18414074,37.19438079,,45.73081631,41.29301704,45.96812756,40.56172636,,46.69908387,40.28937396,43.78674131,37.43863581,,50.46353057,46.70058401,51.0942263,43.25472899,,52.24506411,45.75319928,49.31501171,39.13690021,,717,253.9,1859.59,2447.18,51.06,41.37,42.43,32.93,457.98,1754.89
2021-01-03 10:00,63.69314079,53.40218812,56.55107155,45.07772356,,61.15981224,53.37215175,57.9921621,46.7054044,,59.11151344,54.31037945,56.36708145,49.42664601,,60.79429222,56.44061834,58.07157457,47.67399435,,59.96899902,54.95201563,57.47574441,45.48987384,,786.19,291.3,2067.05,2696.32,27.45,8.9,47.79,38.14,646.64,2039.99
